year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,8,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",686,247,102.24,2.31,16.74,0.33,125.37,4,1,12484,4733,336,674,42,6699
2022,8,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",306,95,44.53,3.27,7.08,0,40.12,11,1,5578,2177,205,363,0,2833
2022,8,WN,Southwest Airlines Co.,AMA,"Amarillo, TX: Rick Husband Amarillo International",205,54,17.97,0,4.19,0,31.84,5,1,3559,1174,0,152,0,2233
2022,8,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2727,792,289.39,17.66,83.13,4.52,397.31,60,9,46974,15416,1584,4380,149,25445
2022,8,WN,Southwest Airlines Co.,AUS,"Austin, TX: Austin - Bergstrom International",3077,969,345.23,17.61,171.09,2.54,432.53,69,22,51239,14799,1712,8861,315,25552
2022,8,WN,Southwest Airlines Co.,BDL,"Hartford, CT: Bradley International",314,138,67.33,5.67,15.12,0,49.88,12,0,7256,2979,316,668,0,3293
2022,8,WN,Southwest Airlines Co.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",306,75,32.88,4.5,8.4,0,29.23,6,0,3963,1359,568,341,0,1695
2022,8,WN,Southwest Airlines Co.,BLI,"Bellingham, WA: Bellingham International",93,36,16.23,0,0.78,0,18.99,0,0,1739,852,0,57,0,830
2022,8,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",3842,1019,363.8,18.9,99.1,4.31,532.88,67,20,62479,20342,1530,4654,270,35683
2022,8,WN,Southwest Airlines Co.,BOI,"Boise, ID: Boise Air Terminal",387,120,48.71,1.39,9.5,2.44,57.95,3,0,6247,2125,251,340,121,3410
2022,8,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",573,198,99.41,5.6,26.98,0,66.01,12,1,11429,4585,727,1774,0,4343
2022,8,WN,Southwest Airlines Co.,BUF,"Buffalo, NY: Buffalo Niagara International",403,150,60.49,5.54,13.89,0,70.08,12,0,9083,3249,431,636,0,4767
2022,8,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",2140,514,157.25,2.15,42.28,2.72,309.59,85,1,28440,8016,189,1676,138,18421
2022,8,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5857,1594,460.61,46.11,345.43,4.36,737.49,273,10,96782,25745,3478,17361,264,49934
2022,8,WN,Southwest Airlines Co.,BZN,"Bozeman, MT: Bozeman Yellowstone International",182,53,26.65,1.14,4.64,0,20.57,0,1,2980,1540,61,143,0,1236
2022,8,WN,Southwest Airlines Co.,CHS,"Charleston, SC: Charleston AFB/International",349,140,53.54,2.71,16.36,0,67.38,16,2,8020,2506,256,817,0,4441
2022,8,WN,Southwest Airlines Co.,CLE,"Cleveland, OH: Cleveland-Hopkins International",368,152,78.64,1,5.92,0,66.44,8,1,7673,3320,44,377,0,3932
2022,8,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",240,89,36.2,1.81,11.01,0,39.97,10,0,5195,1717,101,614,0,2763
2022,8,WN,Southwest Airlines Co.,CMH,"Columbus, OH: John Glenn Columbus International",911,292,119.64,7.74,20.35,2.19,142.09,24,2,16453,5810,769,1077,120,8677
2022,8,WN,Southwest Airlines Co.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",445,130,53.29,3.86,6.47,0.23,66.15,8,0,7753,2864,459,225,26,4179
2022,8,WN,Southwest Airlines Co.,CRP,"Corpus Christi, TX: Corpus Christi International",116,30,6.91,1.78,0.49,0,20.82,1,0,2003,262,184,58,0,1499
2022,8,WN,Southwest Airlines Co.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",244,75,37.28,2.55,3.87,0,31.3,14,1,5205,2457,375,286,0,2087
2022,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5389,1605,527.67,41.85,275.16,10.53,749.78,188,42,95004,26163,4489,16284,470,47598
2022,8,WN,Southwest Airlines Co.,DCA,"Washington, DC: Ronald Reagan Washington National",1359,407,147.59,11.62,70.21,3.56,174.02,79,5,23995,8357,1281,3995,127,10235
2022,8,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",7277,1947,611.28,39.28,320.76,5.96,969.72,192,33,109424,31455,3253,16108,326,58282
2022,8,WN,Southwest Airlines Co.,DSM,"Des Moines, IA: Des Moines International",120,35,17.4,0.58,1.12,0,15.9,1,0,2267,816,59,41,0,1351
2022,8,WN,Southwest Airlines Co.,DTW,"Detroit, MI: Detroit Metro Wayne County",333,132,62.09,0.68,6.13,0,63.1,12,2,6470,2401,28,467,0,3574
2022,8,WN,Southwest Airlines Co.,ECP,"Panama City, FL: Northwest Florida Beaches International",339,101,36.45,0.96,21.27,1,41.32,6,0,5545,1517,27,1072,36,2893
2022,8,WN,Southwest Airlines Co.,ELP,"El Paso, TX: El Paso International",705,213,84.98,2.83,20.01,0.32,104.86,10,1,11397,3754,219,739,32,6653
2022,8,WN,Southwest Airlines Co.,EUG,"Eugene, OR: Mahlon Sweet Field",124,40,14.27,0,4.94,0,20.78,0,0,2068,709,0,207,0,1152
2022,8,WN,Southwest Airlines Co.,FAT,"Fresno, CA: Fresno Yosemite International",147,59,17.38,0,8.01,0,33.61,4,0,3201,695,0,481,0,2025
2022,8,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1291,343,147.86,11.94,29.44,1.99,151.76,22,1,19444,7846,1097,1368,124,9009
2022,8,WN,Southwest Airlines Co.,GEG,"Spokane, WA: Spokane International",356,105,49.5,0,3.57,0,51.93,2,0,4322,1736,0,102,0,2484
2022,8,WN,Southwest Airlines Co.,GRR,"Grand Rapids, MI: Gerald R. Ford International",151,54,35.07,0.79,2.63,0,15.51,4,0,3247,1768,75,208,0,1196
2022,8,WN,Southwest Airlines Co.,GSP,"Greer, SC: Greenville-Spartanburg International",93,34,15.57,1.2,3.07,0,14.16,0,1,2115,942,48,259,0,866
2022,8,WN,Southwest Airlines Co.,HDN,"Hayden, CO: Yampa Valley",31,12,7.82,0,0.35,0,3.83,0,0,540,328,0,8,0,204
2022,8,WN,Southwest Airlines Co.,HNL,"Honolulu, HI: Daniel K Inouye International",1054,163,74.05,0,31.79,0.62,56.54,3,0,8530,4309,0,1003,39,3179
2022,8,WN,Southwest Airlines Co.,HOU,"Houston, TX: William P Hobby",4170,1153,385.84,29.49,159.46,6.32,571.88,121,21,64538,19053,2714,8536,374,33861
2022,8,WN,Southwest Airlines Co.,HRL,"Harlingen/San Benito, TX: Valley International",236,55,13.6,0.92,3.7,0.45,36.33,7,0,2924,740,39,194,30,1921
2022,8,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",151,61,24.73,0,4.98,0.2,31.09,4,0,3703,1292,0,494,17,1900
2022,8,WN,Southwest Airlines Co.,IAH,"Houston, TX: George Bush Intercontinental/Houston",569,160,55.09,5.85,28.87,0,70.19,13,1,10321,2838,817,1891,0,4775
2022,8,WN,Southwest Airlines Co.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",151,40,19.34,1,1.69,0.24,17.73,1,0,1634,574,89,39,12,920
2022,8,WN,Southwest Airlines Co.,IND,"Indianapolis, IN: Indianapolis International",722,273,100.01,11.25,26.96,1.73,133.04,14,1,15520,5551,780,1290,43,7856
2022,8,WN,Southwest Airlines Co.,ISP,"Islip, NY: Long Island MacArthur",225,71,28.4,1.92,3.29,0,37.4,4,1,4552,1259,144,117,0,3032
2022,8,WN,Southwest Airlines Co.,ITO,"Hilo, HI: Hilo International",124,16,8.69,0,1.13,0,6.18,0,0,644,269,0,35,0,340
2022,8,WN,Southwest Airlines Co.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",209,61,25.76,3.13,6.51,1,24.59,3,1,4528,1762,398,427,42,1899
2022,8,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",310,114,51.71,0.95,9.56,0,51.79,8,0,6036,1891,225,468,0,3452
2022,8,WN,Southwest Airlines Co.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",345,56,21.07,0,11.82,1,22.11,1,0,2629,1191,0,349,92,997
2022,8,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: McCarran International",6875,2155,594.97,21.44,555.88,29.76,952.95,254,29,122779,31055,1923,31033,2843,55925
2022,8,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",2426,618,238.47,5.25,35.44,3,335.85,33,1,35580,12332,538,1427,314,20969
2022,8,WN,Southwest Airlines Co.,LBB,"Lubbock, TX: Lubbock Preston Smith International",236,59,27.53,1,8.96,0,21.5,6,1,2893,1207,39,387,0,1260
2022,8,WN,Southwest Airlines Co.,LGA,"New York, NY: LaGuardia",1079,318,133.42,13.84,89.92,1.58,79.23,70,9,17235,6120,1328,5244,36,4507
2022,8,WN,Southwest Airlines Co.,LGB,"Long Beach, CA: Long Beach Airport",1053,282,121.02,2.46,17.61,0,140.9,13,1,12585,5635,101,648,0,6201
2022,8,WN,Southwest Airlines Co.,LIH,"Lihue, HI: Lihue Airport",310,80,29.93,0.81,13.05,0,36.2,0,0,5062,1726,230,352,0,2754
2022,8,WN,Southwest Airlines Co.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",205,65,33.41,0.64,3.31,0,27.64,4,0,3840,1314,70,114,0,2342
2022,8,WN,Southwest Airlines Co.,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",348,108,42.46,1.5,11.71,0,52.33,10,1,6990,2429,144,566,0,3851
2022,8,WN,Southwest Airlines Co.,MCI,"Kansas City, MO: Kansas City International",1701,589,241.48,12.63,48.14,1.55,285.2,27,2,33777,11386,1099,2190,197,18905
2022,8,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3087,992,335.53,16.53,202.64,5.8,431.49,76,17,57227,17591,1920,9963,119,27634
2022,8,WN,Southwest Airlines Co.,MDW,"Chicago, IL: Chicago Midway International",7296,2120,680.71,39.21,356.82,9.64,1033.62,325,26,122226,33483,3278,18394,461,66610
2022,8,WN,Southwest Airlines Co.,MEM,"Memphis, TN: Memphis International",248,104,46.64,2.24,6.03,1,48.08,7,0,5536,2131,129,209,15,3052
2022,8,WN,Southwest Airlines Co.,MHT,"Manchester, NH: Manchester-Boston Regional",244,91,45.65,5.44,11,0,28.91,7,0,4097,1647,377,496,0,1577
2022,8,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",562,175,65.95,3.89,23.31,0,81.85,8,1,8859,3011,202,692,0,4954
2022,8,WN,Southwest Airlines Co.,MKE,"Milwaukee, WI: General Mitchell International",582,224,91.62,6.11,11.11,0,115.16,7,1,12613,4643,398,500,0,7072
2022,8,WN,Southwest Airlines Co.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",596,213,101.79,4.37,11.92,0.92,93.99,26,1,12935,5674,502,542,35,6182
2022,8,WN,Southwest Airlines Co.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",1590,455,173.43,12.8,43.66,3.62,221.49,24,0,27287,9859,1408,1913,118,13989
2022,8,WN,Southwest Airlines Co.,MTJ,"Montrose/Delta, CO: Montrose Regional",31,2,1.74,0,0.26,0,0,0,0,46,40,0,6,0,0
2022,8,WN,Southwest Airlines Co.,MYR,"Myrtle Beach, SC: Myrtle Beach International",272,101,42.34,2.82,10.33,0,45.5,2,0,5533,2233,345,387,0,2568
2022,8,WN,Southwest Airlines Co.,OAK,"Oakland, CA: Metropolitan Oakland International",3695,973,330.66,1.42,88.52,2.55,549.84,82,0,49768,15711,69,2923,198,30867
2022,8,WN,Southwest Airlines Co.,OGG,"Kahului, HI: Kahului Airport",651,176,50.05,0,70.79,1.58,53.58,2,1,7407,2032,0,2269,80,3026
2022,8,WN,Southwest Airlines Co.,OKC,"Oklahoma City, OK: Will Rogers World",581,192,75.71,2.37,22.58,0.23,91.1,11,2,10590,3289,289,921,7,6084
2022,8,WN,Southwest Airlines Co.,OMA,"Omaha, NE: Eppley Airfield",631,245,103.36,5.7,18.4,0.12,117.42,18,1,14862,5820,592,759,12,7679
2022,8,WN,Southwest Airlines Co.,ONT,"Ontario, CA: Ontario International",975,290,118.98,2.43,16.73,0,151.87,15,1,14774,4960,164,744,0,8906
2022,8,WN,Southwest Airlines Co.,ORD,"Chicago, IL: Chicago O'Hare International",817,290,86.74,5.21,100.19,2,95.86,54,18,16945,4906,665,5674,84,5616
2022,8,WN,Southwest Airlines Co.,ORF,"Norfolk, VA: Norfolk International",256,106,60.72,2.94,8.15,0,34.19,4,1,5971,2526,412,503,0,2530
2022,8,WN,Southwest Airlines Co.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",105,32,15.32,0.44,2.49,0,13.76,1,0,1810,784,28,144,0,854
2022,8,WN,Southwest Airlines Co.,PDX,"Portland, OR: Portland International",798,294,141.86,4.09,6.74,0.4,140.91,10,0,15160,6256,232,286,10,8376
2022,8,WN,Southwest Airlines Co.,PHL,"Philadelphia, PA: Philadelphia International",384,144,71.9,3.46,9.02,0.19,59.43,10,0,8016,3253,263,676,23,3801
2022,8,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5033,1467,524.6,21.11,175.52,7.61,738.17,149,22,77834,25171,1879,8456,569,41759
2022,8,WN,Southwest Airlines Co.,PIT,"Pittsburgh, PA: Pittsburgh International",772,281,117.58,10.11,23.28,0.12,129.91,18,1,16001,5777,865,1257,7,8095
2022,8,WN,Southwest Airlines Co.,PNS,"Pensacola, FL: Pensacola International",202,57,15.35,2.58,4.52,0,34.56,1,1,3638,653,272,133,0,2580
2022,8,WN,Southwest Airlines Co.,PSP,"Palm Springs, CA: Palm Springs International",236,53,17.61,0.16,7.93,0,27.29,6,0,2099,722,21,226,0,1130
2022,8,WN,Southwest Airlines Co.,PVD,"Providence, RI: Theodore Francis Green State",426,139,67.23,5.76,7.39,0,58.62,14,1,9206,4049,541,310,0,4306
2022,8,WN,Southwest Airlines Co.,PWM,"Portland, ME: Portland International Jetport",159,56,24.12,0.69,14.95,0,16.24,4,0,3223,1302,24,828,0,1069
2022,8,WN,Southwest Airlines Co.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",527,198,91.45,10.55,8.85,0,87.15,10,0,10901,4200,904,421,0,5376
2022,8,WN,Southwest Airlines Co.,RIC,"Richmond, VA: Richmond International",120,53,18.69,0.94,3.02,1,29.34,1,0,3263,992,148,161,24,1938
2022,8,WN,Southwest Airlines Co.,RNO,"Reno, NV: Reno/Tahoe International",693,240,84.92,1.72,16.32,1,136.04,10,1,12660,4135,181,808,181,7355
2022,8,WN,Southwest Airlines Co.,ROC,"Rochester, NY: Greater Rochester International",182,73,32.62,2.5,2.47,0,35.41,5,0,4937,1939,630,87,0,2281
2022,8,WN,Southwest Airlines Co.,RSW,"Fort Myers, FL: Southwest Florida International",475,123,41.88,1.24,11.41,0.88,67.59,12,2,7032,2248,81,575,15,4113
2022,8,WN,Southwest Airlines Co.,SAN,"San Diego, CA: San Diego International",3475,965,326.13,2.58,145.78,3.75,486.76,68,5,50176,15295,287,6101,240,28253
2022,8,WN,Southwest Airlines Co.,SAT,"San Antonio, TX: San Antonio International",1297,377,149.13,8.72,35.97,0.92,182.26,24,0,22523,7217,746,2606,176,11778
2022,8,WN,Southwest Airlines Co.,SAV,"Savannah, GA: Savannah/Hilton Head International",198,58,22.94,1.87,9.65,0,23.55,4,1,3977,1545,247,508,0,1677
2022,8,WN,Southwest Airlines Co.,SBA,"Santa Barbara, CA: Santa Barbara Municipal",178,58,14.89,4.84,4.1,0,34.18,2,1,3156,758,329,165,0,1904
2022,8,WN,Southwest Airlines Co.,SDF,"Louisville, KY: Louisville Muhammad Ali International",349,150,76.26,3.62,10.27,0,59.85,9,0,8585,3918,324,461,0,3882
2022,8,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",926,244,87.39,1.83,16.69,1,137.09,12,0,12686,3693,168,790,149,7886
2022,8,WN,Southwest Airlines Co.,SFO,"San Francisco, CA: San Francisco International",778,232,70.76,2.42,28.18,1,129.65,22,1,11954,3371,94,889,226,7374
2022,8,WN,Southwest Airlines Co.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",3346,857,255.33,5,92.24,3.02,501.41,57,1,44675,11415,325,3914,286,28735
2022,8,WN,Southwest Airlines Co.,SJU,"San Juan, PR: Luis Munoz Marin International",365,113,53.4,4.71,7.14,0,47.75,2,0,6188,2290,474,233,0,3191
2022,8,WN,Southwest Airlines Co.,SLC,"Salt Lake City, UT: Salt Lake City International",941,326,126.49,0.9,30.48,1,167.12,16,0,16412,5124,92,976,203,10017
2022,8,WN,Southwest Airlines Co.,SMF,"Sacramento, CA: Sacramento International",2937,696,219.57,1.56,44.87,2.07,427.92,59,2,37323,10664,199,1696,189,24575
2022,8,WN,Southwest Airlines Co.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",1528,444,164.09,2.47,46.65,0.03,230.76,45,0,20416,7285,92,1690,2,11347
2022,8,WN,Southwest Airlines Co.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",283,91,39.7,1.54,9.02,0,40.74,6,2,4949,1886,194,311,0,2558
2022,8,WN,Southwest Airlines Co.,STL,"St. Louis, MO: St Louis Lambert International",3191,895,354.17,17.41,104.65,6.1,412.67,55,11,47405,15961,1451,4701,381,24911
2022,8,WN,Southwest Airlines Co.,SYR,"Syracuse, NY: Syracuse Hancock International",97,43,22.14,0.08,3.3,0,17.48,1,0,2080,1053,11,163,0,853
2022,8,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",1906,592,235.09,6.85,64.85,0,285.21,29,5,32552,11248,858,2739,0,17707
2022,8,WN,Southwest Airlines Co.,TUL,"Tulsa, OK: Tulsa International",476,166,63.57,2.7,7.51,0,92.22,6,1,8883,2734,143,346,0,5660
2022,8,WN,Southwest Airlines Co.,TUS,"Tucson, AZ: Tucson International",271,78,32.51,0,6.2,0,39.29,3,1,3929,1389,0,208,0,2332
2022,8,WN,Southwest Airlines Co.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",136,45,10.23,0.3,6.64,0,27.83,2,0,3190,681,128,285,0,2096
2022,7,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",687,226,98.78,0.98,14.25,0.55,111.44,6,1,12541,4255,66,720,60,7440
2022,7,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",293,80,34.2,0.88,3.66,0.45,40.81,6,0,5679,2147,126,116,19,3271
2022,7,WN,Southwest Airlines Co.,AMA,"Amarillo, TX: Rick Husband Amarillo International",200,48,15.47,0.38,3.39,0,28.76,4,0,2940,1033,35,128,0,1744
2022,7,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2718,875,297.57,23.12,121.11,2.14,431.06,25,8,51674,16615,1812,6030,52,27165
2022,7,WN,Southwest Airlines Co.,AUS,"Austin, TX: Austin - Bergstrom International",3046,874,319.89,16.55,111.75,2.39,423.42,23,4,47176,16714,1228,4232,234,24768
2022,7,WN,Southwest Airlines Co.,BDL,"Hartford, CT: Bradley International",308,117,47.02,2.43,6.61,1,59.93,8,0,6801,2308,165,340,37,3951
2022,7,WN,Southwest Airlines Co.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",302,106,38.41,3.64,8.85,0,55.1,2,1,5220,1846,269,265,0,2840
2022,7,WN,Southwest Airlines Co.,BLI,"Bellingham, WA: Bellingham International",93,34,17,1,1.45,0,14.55,0,0,1637,606,217,112,0,702
2022,7,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",3812,912,344.83,17.89,81.09,2.64,465.54,26,2,47863,16106,1313,3425,116,26903
2022,7,WN,Southwest Airlines Co.,BOI,"Boise, ID: Boise Air Terminal",383,119,55.04,0.51,9.24,0.77,53.43,3,0,5976,2834,52,463,20,2607
2022,7,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",556,158,83.28,2.28,22.64,0,49.8,11,0,9129,4540,435,1689,0,2465
2022,7,WN,Southwest Airlines Co.,BUF,"Buffalo, NY: Buffalo Niagara International",400,133,56.61,4.45,14,1,56.94,7,0,7416,3078,387,587,50,3314
2022,7,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",2085,551,158.4,4.37,80.44,0.97,306.82,64,8,25937,6820,359,2872,66,15820
2022,7,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5782,1503,433.1,46.2,264.37,6.33,753.01,132,15,91361,25956,3722,12965,217,48501
2022,7,WN,Southwest Airlines Co.,BZN,"Bozeman, MT: Bozeman Yellowstone International",181,61,22.55,1.23,8.95,0,28.27,4,1,3439,1377,26,373,0,1663
2022,7,WN,Southwest Airlines Co.,CHS,"Charleston, SC: Charleston AFB/International",351,155,59.03,0.26,27.7,0.79,67.21,4,3,7384,2391,16,1254,19,3704
2022,7,WN,Southwest Airlines Co.,CLE,"Cleveland, OH: Cleveland-Hopkins International",364,147,73.38,1.74,8.81,0,63.07,4,1,7280,3160,314,469,0,3337
2022,7,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",234,93,47.66,0,8.31,0,37.03,7,1,4866,2044,0,415,0,2407
2022,7,WN,Southwest Airlines Co.,CMH,"Columbus, OH: John Glenn Columbus International",913,277,112.37,5.5,23.58,0,135.55,10,5,16554,5862,806,1290,0,8596
2022,7,WN,Southwest Airlines Co.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",437,153,52.75,2.46,16.69,0,81.1,6,5,8717,2475,106,959,0,5177
2022,7,WN,Southwest Airlines Co.,CRP,"Corpus Christi, TX: Corpus Christi International",114,26,7.61,0.67,0,0,17.72,0,0,1075,367,20,0,0,688
2022,7,WN,Southwest Airlines Co.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",239,81,32.4,0.54,3.97,1.02,43.06,1,0,4041,1323,77,166,46,2429
2022,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5370,1510,518.62,26.87,202.27,1.74,760.49,87,16,81420,25935,2156,7735,145,45449
2022,7,WN,Southwest Airlines Co.,DCA,"Washington, DC: Ronald Reagan Washington National",1350,387,137.66,9.3,69,1,170.04,35,8,19989,6717,684,3386,15,9187
2022,7,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",7242,2053,578.56,43.3,491.23,7.25,932.66,165,52,112892,30256,3242,22638,427,56329
2022,7,WN,Southwest Airlines Co.,DSM,"Des Moines, IA: Des Moines International",119,37,14.06,0.03,0.71,0,22.2,2,0,1777,576,5,40,0,1156
2022,7,WN,Southwest Airlines Co.,DTW,"Detroit, MI: Detroit Metro Wayne County",331,122,58.75,2.05,8.24,0.47,52.49,3,0,6929,2832,128,400,9,3560
2022,7,WN,Southwest Airlines Co.,ECP,"Panama City, FL: Northwest Florida Beaches International",354,100,38.77,0.37,15.65,1.27,43.94,2,0,5299,1721,112,611,46,2809
2022,7,WN,Southwest Airlines Co.,ELP,"El Paso, TX: El Paso International",703,225,86.61,2.79,19.84,1.81,113.95,4,2,12404,4075,115,726,64,7424
2022,7,WN,Southwest Airlines Co.,EUG,"Eugene, OR: Mahlon Sweet Field",124,39,13.31,0,4.88,0,20.81,0,0,2015,705,0,357,0,953
2022,7,WN,Southwest Airlines Co.,FAT,"Fresno, CA: Fresno Yosemite International",142,49,22.02,0,5.35,0,21.63,7,0,3125,1380,0,329,0,1416
2022,7,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1288,329,139.59,8.78,38.11,0.78,141.75,10,0,16867,6452,791,1481,25,8118
2022,7,WN,Southwest Airlines Co.,GEG,"Spokane, WA: Spokane International",352,99,44.11,0.08,4.31,0.31,50.19,4,0,4987,2183,4,116,16,2668
2022,7,WN,Southwest Airlines Co.,GRR,"Grand Rapids, MI: Gerald R. Ford International",150,57,36.22,0,4.11,0,16.66,2,0,3222,1709,0,417,0,1096
2022,7,WN,Southwest Airlines Co.,GSP,"Greer, SC: Greenville-Spartanburg International",93,26,8.75,0,3.47,0,13.77,0,0,1531,401,0,113,0,1017
2022,7,WN,Southwest Airlines Co.,HDN,"Hayden, CO: Yampa Valley",31,7,2.31,0,0.62,0,4.07,0,0,271,67,0,21,0,183
2022,7,WN,Southwest Airlines Co.,HNL,"Honolulu, HI: Daniel K Inouye International",1054,205,78.58,0,38.62,3.27,84.54,5,3,10162,4178,0,1245,55,4684
2022,7,WN,Southwest Airlines Co.,HOU,"Houston, TX: William P Hobby",4130,1092,370.07,21.43,115.17,4.67,580.66,34,4,60105,17615,1567,4387,276,36260
2022,7,WN,Southwest Airlines Co.,HRL,"Harlingen/San Benito, TX: Valley International",233,55,22.76,0.65,3.65,0,27.95,1,0,2184,937,22,146,0,1079
2022,7,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",150,64,24.08,0,1.98,0,37.95,1,0,3787,1155,0,113,0,2519
2022,7,WN,Southwest Airlines Co.,IAH,"Houston, TX: George Bush Intercontinental/Houston",564,154,56.26,2.44,8.95,1,85.34,7,1,8703,3023,144,356,238,4942
2022,7,WN,Southwest Airlines Co.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",150,50,19.79,0,4.02,0,26.19,1,0,2646,849,0,126,0,1671
2022,7,WN,Southwest Airlines Co.,IND,"Indianapolis, IN: Indianapolis International",732,282,110.25,6.48,26.57,1.9,136.8,10,1,15506,5469,490,1353,263,7931
2022,7,WN,Southwest Airlines Co.,ISP,"Islip, NY: Long Island MacArthur",223,69,25.14,1.32,3.78,0,38.75,4,0,3228,980,116,261,0,1871
2022,7,WN,Southwest Airlines Co.,ITO,"Hilo, HI: Hilo International",124,29,10.95,0,2.23,0,15.81,0,0,1532,614,0,50,0,868
2022,7,WN,Southwest Airlines Co.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",207,96,32.31,1.54,15.64,0,46.51,0,1,4981,1320,103,655,0,2903
2022,7,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",310,112,53.76,1.71,8.5,0,48.04,2,5,5567,2683,95,248,0,2541
2022,7,WN,Southwest Airlines Co.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",346,87,34.73,0,14.59,0.22,37.45,2,0,4001,1531,0,525,8,1937
2022,7,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: McCarran International",6772,2116,575.69,35.3,580.8,8.82,915.4,203,41,118993,30993,4108,27311,562,56019
2022,7,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",2377,648,236.74,7.73,43.76,3.33,356.44,21,2,37428,11497,611,2342,103,22875
2022,7,WN,Southwest Airlines Co.,LBB,"Lubbock, TX: Lubbock Preston Smith International",233,48,22.42,0,3.74,0,21.85,3,0,2017,1005,0,125,0,887
2022,7,WN,Southwest Airlines Co.,LGA,"New York, NY: LaGuardia",1062,301,110.35,9.56,79.2,0.74,101.15,36,13,16792,5763,848,4826,193,5162
2022,7,WN,Southwest Airlines Co.,LGB,"Long Beach, CA: Long Beach Airport",1045,227,82.3,5.45,19.62,1.96,117.68,10,1,10112,3668,384,844,211,5005
2022,7,WN,Southwest Airlines Co.,LIH,"Lihue, HI: Lihue Airport",310,95,33.7,0,13.31,1,46.99,0,0,4637,1569,0,415,34,2619
